C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0009.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0012.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0016.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0019.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0029.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0039.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0042.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0046.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0058.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0078.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0083.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0087.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0093.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0097.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0109.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0122.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0129.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0132.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0140.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0151.jpg,0,100
C:\Users\abdel\OneDrive\Desktop\TF Work\Bills\ES_images\i100a0000_f0152.jpg,0,100
